exam,round,year,subject,question_type,book_type,question_no,answer,answer_source_status,source_article_url,provisional_answer_article_url,source_file,source_file_url,source_license
변호사시험,1,2012,공법,선택형,,1,40,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,2,20,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,3,10,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,4,30,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,5,19,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,6,3,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,7,3,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,8,3,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,9,5,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
변호사시험,1,2012,공법,선택형,,10,2,final,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,https://www.moj.go.kr/bbs/moj/150/568844/artclView.do,2012년도 제1회 변호사시험 선택형 최종정답.hwp,https://www.moj.go.kr/bbs/moj/150/451621/download.do,Korea Open Government License Type 1 (KOGL Type 1)
